date,rank,change,category,momentum_score,volatility_score,composite_score
2026-03-27,1,▲+4,금융,14.24,55.39,1.37
2026-03-27,2,▼-1,건설,33.04,73.75,0.94
2026-03-27,3,▼-1,원자력,31.87,82.86,0.62
2026-03-27,4,▲+6,방산/우주항공,20.62,87.25,0.49
2026-03-27,5,▼-2,전력/인프라,27.93,77.98,0.44
2026-03-27,6,▼-2,반도체,24.54,83.27,0.31
2026-03-27,7,▼-1,신재생에너지,18.84,79.96,0.24
2026-03-27,8,▲+3,부동산/리츠,2.47,19.07,0.21
2026-03-27,9,▼-2,IT,17.31,73.2,0.04
2026-03-27,10,▼-2,AI,13.13,70.38,-0.01
2026-03-27,11,▲+4,바이오/헬스케어,3.6,66.83,-0.14
2026-03-27,12,▲+11,게임,-1.03,52.15,-0.15
2026-03-27,13,▼-4,자동차,11.7,73.09,-0.31
2026-03-27,14,▲+2,2차전지,6.19,81.72,-0.35
2026-03-27,15,▼-2,에너지/화학,0.69,68.28,-0.52
2026-03-27,16,▲+2,운송,-0.63,49.36,-0.58
2026-03-27,17,▲+2,소비재,-3.18,48.21,-0.58
2026-03-27,18,▲+2,플랫폼,-3.03,50.55,-0.59
2026-03-27,19,▼-7,로봇,1.53,79.8,-0.61
2026-03-27,20,▼-3,조선/해운,-5.54,67.01,-0.64
2026-03-27,21,▼-7,철강/금속,-1.29,69.18,-0.68
2026-03-27,22,▼-1,금,-1.91,43.04,-1.0
2026-03-27,23,▼-1,소프트웨어,-11.75,59.09,-1.09
2026-03-27,24,─,미디어/엔터,-14.47,53.44,-1.25
