date,rank,change,category,momentum_score,volatility_score,composite_score
2026-03-04,1,▲+1,금융,24.19,47.38,1.43
2026-03-04,2,▼-1,건설,32.46,51.27,1.01
2026-03-04,3,─,IT,35.73,53.76,0.7
2026-03-04,4,▲+5,반도체,41.36,59.97,0.67
2026-03-04,5,─,전력/인프라,36.87,61.56,0.61
2026-03-04,6,▲+12,방산/우주항공,32.39,63.35,0.52
2026-03-04,7,▲+5,에너지/화학,18.82,43.85,0.43
2026-03-04,8,▼-1,원자력,29.15,60.16,0.43
2026-03-04,9,▼-3,자동차,28.28,57.61,0.38
2026-03-04,10,─,신재생에너지,23.92,60.39,0.32
2026-03-04,11,▼-7,운송,10.74,32.8,0.31
2026-03-04,12,▼-4,AI,23.67,47.64,0.25
2026-03-04,13,▲+3,철강/금속,15.54,51.17,-0.09
2026-03-04,14,▲+7,금,16.16,52.33,-0.11
2026-03-04,15,▲+2,2차전지,11.38,59.82,-0.42
2026-03-04,16,▼-3,플랫폼,2.44,31.99,-0.49
2026-03-04,17,▼-6,소비재,1.69,34.78,-0.52
2026-03-04,18,▲+2,조선/해운,2.27,46.58,-0.53
2026-03-04,19,▼-5,로봇,15.87,55.08,-0.56
2026-03-04,20,▼-5,부동산/리츠,0.85,10.68,-0.62
2026-03-04,21,▲+1,바이오/헬스케어,0.29,43.77,-0.83
2026-03-04,22,▼-3,미디어/엔터,-7.06,38.43,-1.14
2026-03-04,23,▲+1,소프트웨어,-7.56,38.22,-1.33
2026-03-04,24,▼-1,게임,-8.93,30.97,-1.61
