date,rank,change,category,momentum_score,volatility_score,composite_score
2026-01-30,1,─,IT,40.49,25.76,1.47
2026-01-30,2,▲+1,AI,31.24,26.08,0.89
2026-01-30,3,▼-1,로봇,54.44,47.16,0.76
2026-01-30,4,▲+6,반도체,46.91,40.02,0.61
2026-01-30,5,▲+3,금융,20.75,27.72,0.49
2026-01-30,6,▼-1,건설,26.48,31.71,0.41
2026-01-30,7,▼-1,자동차,41.18,44.89,0.34
2026-01-30,8,▼-1,방산/우주항공,37.7,45.31,0.29
2026-01-30,9,▼-5,금,33.4,35.97,0.27
2026-01-30,10,▼-1,전력/인프라,34.01,32.24,0.27
2026-01-30,11,─,철강/금속,31.65,39.8,0.22
2026-01-30,12,▲+3,운송,14.92,23.13,-0.04
2026-01-30,13,─,신재생에너지,19.54,31.18,-0.1
2026-01-30,14,▼-2,원자력,23.86,32.04,-0.22
2026-01-30,15,▲+1,2차전지,30.5,52.32,-0.28
2026-01-30,16,▲+5,소비재,9.75,19.46,-0.35
2026-01-30,17,─,에너지/화학,15.23,29.76,-0.39
2026-01-30,18,▲+1,플랫폼,10.01,21.04,-0.48
2026-01-30,19,▲+4,게임,9.49,29.59,-0.72
2026-01-30,20,▼-6,부동산/리츠,3.93,7.52,-0.77
2026-01-30,21,▲+3,미디어/엔터,4.44,26.15,-0.83
2026-01-30,22,─,조선/해운,12.45,38.24,-0.85
2026-01-30,23,▼-5,바이오/헬스케어,14.57,39.68,-0.89
2026-01-30,24,▼-4,소프트웨어,8.27,27.83,-0.95
