티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
000650.KS,천일고속,281000.0,286541.66666666605,2026-01-29,2026-03-30,613.2,Inv H&S,,0.0,275280.0,370000.0
084370.KQ,유진테크,118300.0,111000.0,2026-02-13,2026-04-14,268.54,Rect Bottom,,0.0,106950.0,143750.0
005930.KS,삼성전자,190300.0,169100.0,2026-02-12,2026-04-13,256.56,Rect Bottom,,0.0,166935.0,224375.0
097230.KS,HJ중공업,25500.0,26950.0,2026-01-27,2026-03-28,248.36,Rect Bottom,,0.0,25435.5,34187.5
195870.KS,해성디에스,60300.0,58500.0,2026-01-26,2026-03-27,235.0,Rect Bottom,,0.0,53754.0,72250.0
356860.KQ,티엘비,59100.0,61700.0,2026-02-03,2026-04-04,234.88,Triple Bottom,,0.0,57380.99999999999,77125.0
067310.KQ,하나마이크론,33100.0,28900.0,2026-01-27,2026-03-28,221.05,Rect Bottom,,0.0,31712.999999999996,42625.0
005935.KS,삼성전자우,135300.0,120600.0,2026-02-12,2026-04-13,207.25,Rect Bottom,,0.0,113459.99999999999,152500.0
004800.KS,효성,163300.0,157800.0,2026-02-13,2026-04-14,195.3,Rect Bottom,,0.0,153729.0,206625.0
200710.KQ,에이디테크놀로지,41650.0,40150.0,2026-02-19,2026-04-20,194.76,Rect Bottom,,0.0,38734.5,52062.5
009155.KS,삼성전기우,144950.0,129900.0,2026-02-19,2026-04-20,177.5,Triple Bottom,,0.0,134803.5,181187.5
089970.KQ,브이엠,34100.0,29950.0,2026-01-29,2026-03-30,168.72,Rect Bottom,,0.0,27156.0,36500.0
034730.KS,SK,360000.0,333500.0,2026-02-11,2026-04-12,163.93,Rect Bottom,,0.0,319455.0,429375.0
042700.KS,한미반도체,201000.0,186500.0,2026-01-29,2026-03-30,156.38,Rect Bottom,,0.0,185907.0,249875.0
078160.KQ,메디포스트,22700.0,20100.0,2026-01-27,2026-03-28,152.78,Rect Bottom,,0.0,20692.5,27812.5
115180.KQ,큐리언트,32500.0,31450.0,2026-01-28,2026-03-29,152.53,Rect Bottom,,0.0,32270.999999999996,43375.0
267260.KS,HD현대일렉트릭,966000.0,922000.0,2026-02-04,2026-04-05,151.25,Rect Bottom,,0.0,831420.0,1117500.0
033640.KQ,네패스,18140.0,17950.0,2026-01-29,2026-03-30,145.8,Triple Bottom,,0.0,17763.0,23875.0
034020.KS,두산에너빌리티,99700.0,96500.0,2026-02-13,2026-04-14,144.36,Rect Bottom,,0.0,93465.0,125625.0
102940.KQ,코오롱생명과학,60700.0,61200.0,2026-01-27,2026-03-28,139.45,Rect Bottom,,0.0,55613.99999999999,74750.0
032830.KS,삼성생명,212500.0,197500.0,2026-02-10,2026-04-11,138.77,Rect Bottom,,0.0,186465.0,250625.0
103590.KS,일진전기,71900.0,63500.0,2026-01-28,2026-03-29,136.9,Rect Bottom,,0.0,61379.99999999999,82500.0
032500.KQ,케이엠더블유,19700.0,19200.0,2026-02-19,2026-04-20,135.93,Rect Bottom,,0.0,18321.0,24625.0
028260.KS,삼성물산,322000.0,316500.0,2026-02-10,2026-04-11,129.43,Rect Bottom,,0.0,296670.0,398750.0
000150.KS,두산,1005000.0,946000.0,2026-02-12,2026-04-13,128.93,Rect Bottom,,0.0,906749.9999999999,1218750.0
000720.KS,현대건설,120800.0,109200.0,2026-02-11,2026-04-12,122.88,Triple Bottom,,0.0,106671.0,143375.0
083650.KQ,비에이치아이,80400.0,79000.0,2026-02-19,2026-04-20,117.3,Rect Bottom,,0.0,74772.0,100500.0
032350.KS,롯데관광개발,24225.0,23750.0,2026-01-30,2026-03-31,114.76,Triple Bottom,,0.0,23436.0,31500.0
009420.KS,한올바이오파마,54100.0,53800.0,2026-02-10,2026-04-11,113.83,Rect Bottom,,0.0,51057.0,68625.0
093520.KQ,매커스,24300.0,24000.0,2026-02-13,2026-04-14,108.34,Rect Bottom,,0.0,23668.5,31812.5
