# ========== 백테스트 최적화 결과 ==========
# 백테스트: disparity_cap_volatility_optimization | 최적화일: 2026-01-20
# IS  수익률: 276.3% | MDD: -19.6%
# OOS 수익률: 153.6% | MDD: -19.6%
# 손절: 20% | 익절: 40% (R:R 1:2)
# 이격도매수: 7.5% | 기울기매수: 0.6%
# 이격도상한: 40% | 변동성상위제외: 5%
# 최대포지션: 6개
# 스캔일시: 2026-01-20 10:40
# ==========================================
티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억),이격도
047810,한국항공우주,166400.0,166500.0,133120,232960,16.2,01/20,W바닥,상승패턴,162394,21.8
012450,한화에어로스페이스,1351000.0,1332000.0,1080800,1891400,15.5,01/20,W바닥,상승패턴,697137,24.2
000660,SK하이닉스,744000.0,741000.0,595200,1041600,13.9,01/20,W바닥,상승패턴,5430898,7.8
451760,컨텍,17230.0,18350.0,13784,24122,11.9,01/20,W바닥,상승패턴,2608,35.8
330590,롯데리츠,4310.0,4300.0,3448,6034,11.2,01/20,W바닥,상승패턴,12469,6.8
216080,제테마,8280.0,8490.0,6624,11592,11.1,01/20,상승삼각,상승패턴,2985,24.1
950170,JTC,5330.0,5310.0,4264,7462,10.8,01/20,W바닥,상승패턴,2753,21.7
042660,한화오션,147700.0,146500.0,118160,206780,10.7,01/20,W바닥,상승패턴,452266,13.1
000860,강남제비스코,17470.0,17440.0,13976,24458,10.4,01/20,상승삼각,상승패턴,2271,20.5
211270,AP위성,17120.0,18390.0,13696,23968,10.3,01/20,상승삼각,상승패턴,2587,22.9
032940,원익,13530.0,13510.0,10824,18942,10.1,01/20,W바닥,상승패턴,2472,3.9
001430,세아베스틸지주,72800.0,74000.0,58240,101920,10.1,01/20,W바닥,상승패턴,26143,34.2
448730,삼성FN리츠,4850.0,4850.0,3880,6790,9.9,01/20,상승삼각,상승패턴,4416,1.9
02826K,삼성물산우B,176000.0,171500.0,140800,246400,9.6,01/20,상승삼각,상승패턴,2583,13.6
006800,미래에셋증권,30700.0,30450.0,24560,42980,9.4,01/20,W바닥,상승패턴,174379,17.8
064350,현대로템,220500.0,216500.0,176400,308700,9.4,01/20,W바닥,상승패턴,240659,6.2
329180,HD현대중공업,636000.0,632000.0,508800,890400,9.1,01/20,W바닥,상승패턴,668603,12.3
080220,제주반도체,30050.0,29650.0,24040,42070,9.1,01/20,W바닥,상승패턴,10333,3.6
126720,수산인더스트리,26900.0,26300.0,21520,37660,8.6,01/20,상승삼각,상승패턴,3843,13.1
352820,하이브,372500.0,370000.0,298000,521500,8.5,01/20,W바닥,상승패턴,158932,10.1
267250,HD현대,258500.0,251500.0,206800,361900,8.5,01/20,W바닥,상승패턴,204197,20.8
010140,삼성중공업,30850.0,30550.0,24680,43190,8.5,01/20,W바닥,상승패턴,271920,11.7
015760,한국전력,59600.0,59400.0,47680,83440,8.4,01/20,W바닥,상승패턴,383253,17.2
357780,솔브레인,309500.0,307500.0,247600,433300,8.3,01/20,상승삼각,상승패턴,24075,10.2
365270,큐라클,9830.0,9590.0,7864,13762,7.9,01/20,상승삼각,상승패턴,2061,20.7
005945,NH투자증권우,20450.0,20425.0,16360,28630,7.8,01/20,W바닥,"상승패턴, 이격도3.9%+기울기0.70%",3859,3.9
170920,엘티씨,22050.0,22250.0,17640,30870,7.8,01/20,W바닥,상승패턴,2332,5.2
298040,효성중공업,2314000.0,2289000.0,1851200,3239600,7.7,01/20,W바닥,상승패턴,216050,17.9
368770,파이버프로,14510.0,17020.0,11608,20314,7.7,01/12,상승삼각,골든크로스(3>20),4770,9.6
348210,넥스틴,75300.0,74900.0,60240,105420,7.4,-,-,이격도5.0%+기울기0.69%,7889,5.0
