# KRX Daily Top30 LGBM System Report
# Generated: 2026-03-26 11:40:14
# Data Date: 2026-01-15
#
# ===== BACKTEST RESULTS (OOS Period) =====
# Period: 2023-06-09 ~ 2026-01-15
# Trading Days: 633
# Initial Capital: 100,000,000
# Final Capital: 185,241,782
#
# Total Return: 85.24%
# CAGR: 27.82%
# MDD: 22.78%
# MDD Period: 2024-10-08 ~ 2024-12-09
# Volatility: 23.39%
#
# Sharpe Ratio: 1.06
# Sortino Ratio: 1.49
# Calmar Ratio: 1.22
#
# Monthly Win Rate: 19/31 (61.3%)
# 2025 Return: 26.26%
#
# ----- Yearly Returns -----
# 2024: 28.41%
# 2025: 29.62%
# 2026: 0.34%
#
# ===== STRATEGY SETTINGS =====
# Top N: 20
# Rebalance: Monthly (21 days)
# Transaction Cost: 0.3%
#
# ===== TOP30 RECOMMENDATIONS =====
#
rank,ticker,name,score,score_percentile,market_cap,value_traded_20d,vol_20d,risk_flags
1,000810,삼성화재,-0.003488924305807874,100.0,21878304202500,32526494825,0.013802,"[]"
2,000670,영풍,-0.005492605074316063,87.5,893050730000,4327909971,0.044387,"['high_vol', 'low_volume']"
3,000815,삼성화재우,-0.005783365285740874,75.0,1117373355000,3890824775,0.008359,"['low_volume']"
4,000880,한화,-0.007817893028837512,62.5,10231867327500,93113841585,0.061017,"['high_vol']"
5,000720,현대건설,-0.008092187770369534,50.0,11124440923500,176760284250,0.051559,"['high_vol']"
6,000500,가온전선,-0.008388656241246184,37.5,1515349334000,7380347295,0.047817,"['high_vol']"
7,00088K,한화3우B,-0.008701302581273506,25.0,1040078037600,6514400530,0.039996,"[]"
8,000660,SK하이닉스,-0.01253301239678407,12.5,545273771385000,2580608701300,0.026645,"[]"
