date,rank,change,category,momentum_score,volatility_score,composite_score
2026-03-26,1,─,Energy,19.69,15.72,3.14
2026-03-26,2,─,Automotive,20.53,72.61,1.28
2026-03-26,3,▲+3,Biotechnology,3.19,28.12,0.68
2026-03-26,4,▲+1,Clean Energy,1.86,36.96,0.63
2026-03-26,5,▼-1,Semiconductors,1.81,36.23,0.49
2026-03-26,6,▲+4,Utilities,-0.2,17.6,0.34
2026-03-26,7,▲+4,Metals & Mining,-2.16,49.3,0.2
2026-03-26,8,▲+4,Uranium,-5.2,58.86,0.15
2026-03-26,9,▲+4,Nuclear Energy,-4.84,40.43,0.09
2026-03-26,10,▼-2,Cryptocurrency,-13.13,50.63,0.09
2026-03-26,11,▲+5,Materials,-7.75,46.27,0.09
2026-03-26,12,▲+9,Banks,-2.6,19.28,0.08
2026-03-26,13,▲+2,Electric Energy Infrastructure,-3.36,24.12,0.05
2026-03-26,14,▼-11,Software,-8.91,25.96,0.04
2026-03-26,15,▼-6,Industrials,-2.1,21.48,0.02
2026-03-26,16,▼-9,Cloud Computing,-7.84,26.89,-0.02
2026-03-26,17,─,Pharmaceutical,-1.89,16.5,-0.11
2026-03-26,18,▼-4,Technology,-6.14,20.95,-0.2
2026-03-26,19,▲+1,Leisure & Entertainment,-17.81,48.9,-0.32
2026-03-26,20,▲+3,Silver Miners,-14.43,63.97,-0.38
2026-03-26,21,▲+3,Mortgage REITs,-5.21,17.58,-0.4
2026-03-26,22,▲+6,Consumer Discretionary,-14.21,37.28,-0.44
2026-03-26,23,▲+3,Healthcare,-4.6,16.89,-0.47
2026-03-26,24,▼-5,Real Estate,-4.66,14.51,-0.51
2026-03-26,25,─,Financials,-6.27,16.11,-0.52
2026-03-26,26,▲+1,Internet,-12.64,25.27,-0.56
2026-03-26,27,▼-5,Consumer Staples,-4.57,18.86,-0.64
2026-03-26,28,▼-10,Telecom,-7.67,15.46,-0.84
2026-03-26,29,─,Medical Devices,-9.87,18.66,-0.94
