티커,종목명,현재가,신호가,신호일,매도예정,모멘텀(%),패턴,상태,오늘고가,손절가,익절가
124500.KQ,아이티센글로벌,36350.0,33950.0,2026-01-12,2026-02-11,452.43,Rect Bottom,,0.0,,
298040.KS,효성중공업,2011000.0,2012000.0,2026-01-12,2026-02-11,335.28,Triple Bottom,,0.0,,
034020.KS,두산에너빌리티,87000.0,79700.0,2026-01-05,2026-02-04,272.59,Triple Bottom,,0.0,69660.0,129000.0
097230.KS,HJ중공업,25850.0,24200.0,2026-01-08,2026-02-07,242.38,Triple Bottom,,0.0,20574.0,38100.0
267250.KS,HD현대,220000.0,226500.0,2026-01-12,2026-02-11,213.95,Rect Bottom,,0.0,,
353200.KS,대덕전자,44000.0,47050.0,2026-01-02,2026-02-01,206.41,Inv H&S,,0.0,40014.0,74100.0
054540.KQ,삼영엠텍,15890.0,15900.0,2026-01-09,2026-02-08,203.82,Triple Bottom,,0.0,13381.2,24780.0
00680K.KS,미래에셋증권2우B,12390.0,11100.0,2025-12-23,2026-01-22,201.09,Rect Bottom,,0.0,9468.900000000001,17535.0
071970.KS,HD현대마린엔진,101400.0,90200.0,2025-12-23,2026-01-22,199.12,Triple Bottom,,0.0,78084.0,144600.0
226950.KQ,올릭스,142400.0,141300.0,2026-01-05,2026-02-04,198.22,Rect Bottom,,0.0,118503.00000000001,219450.0
039490.KS,키움증권,322000.0,300460.65625,2026-01-02,2026-02-01,188.96,Rect Bottom,,0.0,240570.00000000003,445500.0
105840.KS,우진,20200.0,19410.0,2026-01-12,2026-02-11,188.27,Rect Bottom,,0.0,,
267260.KS,HD현대일렉트릭,873000.0,868000.0,2026-01-12,2026-02-11,181.81,Rect Bottom,,0.0,,
039030.KQ,이오테크닉스,308500.0,300920.1875,2026-01-05,2026-02-04,169.25,Rect Bottom,,0.0,250695.00000000003,464250.0
103590.KS,일진전기,62600.0,60400.0,2026-01-05,2026-02-04,166.38,Triple Bottom,,0.0,51435.0,95250.0
089970.KQ,브이엠,28750.0,29950.0,2025-12-30,2026-01-29,164.0,Rect Bottom,,0.0,24624.0,45600.0
095610.KQ,테스,52200.0,49234.61328125,2026-01-02,2026-02-01,159.63,Triple Bottom,,0.0,45846.0,84900.0
218410.KQ,RFHIC,36900.0,36640.4609375,2026-01-06,2026-02-05,154.19,Triple Bottom,,0.0,30780.000000000004,57000.0
064260.KQ,다날,7040.0,7280.0,2025-12-19,2026-01-18,149.65,Triple Bottom,,0.0,6180.3,11445.0
004310.KS,현대약품,8055.0,7030.0,2025-12-24,2026-01-23,144.83,Rect Bottom,,0.0,6091.200000000001,11280.0
001440.KS,대한전선,27350.0,24400.0,2026-01-05,2026-02-04,142.9,Rect Bottom,,0.0,21829.5,40425.0
071050.KS,한국금융지주,172100.0,167400.0,2025-12-29,2026-01-28,142.74,Triple Bottom,,0.0,134379.0,248850.0
075580.KS,세진중공업,20200.0,18690.0,2026-01-07,2026-02-06,139.62,Triple Bottom,,0.0,15333.300000000001,28395.0
028260.KS,삼성물산,273000.0,255000.0,2026-01-06,2026-02-05,139.47,Rect Bottom,,0.0,210600.0,390000.0
071055.KS,한국금융지주우,129200.0,131200.0,2026-01-05,2026-02-04,135.77,Triple Bottom,,0.0,106677.0,197550.0
336260.KS,두산퓨얼셀,32550.0,31450.0,2026-01-13,2026-02-12,133.84,Triple Bottom,,0.0,26365.5,48825.0
170920.KQ,엘티씨,21350.0,19107.052734375,2025-12-30,2026-01-29,133.32,Rect Bottom,,0.0,16119.000000000002,29850.0
034730.KS,SK,278000.0,279500.0,2026-01-06,2026-02-05,132.57,Rect Bottom,,0.0,230850.00000000003,427500.0
000880.KS,한화,97300.0,84800.0,2026-01-06,2026-02-05,130.84,Triple Bottom,,0.0,68283.0,126450.0
000720.KS,현대건설,88700.0,78000.0,2026-01-12,2026-02-11,129.79,Rect Bottom,,0.0,,
