구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
매도패턴,352820.KS,하이브,2026-04-02,,280103.25,270000.0,,-12.92,0.0,0.0,Rect Top,,,,-3.61,
매도패턴,090430.KS,아모레퍼시픽,2026-04-01,,201414.28571428545,134400.0,,-5.42,0.0,0.0,H&S,,,,-33.27,
매도패턴,267260.KS,HD현대일렉트릭,2026-03-31,,835898.5625,883000.0,,79.24,0.0,0.0,Rect Top,,,,5.63,
매도패턴,051910.KS,LG화학,2026-03-31,,300000.0,305000.0,,50.62,0.0,0.0,Rect Top,,,,1.67,
매도패턴,005387.KS,현대차2우B,2026-03-31,,244500.0,236500.0,,53.46,0.0,0.0,Rect Top,,,,-3.27,
매도패턴,007660.KS,이수페타시스,2026-03-31,,100500.0,102500.0,,124.78,0.0,0.0,Triple Top,,,,1.99,
매도패턴,180640.KS,한진칼,2026-03-31,,110400.0,110100.0,,-10.49,0.0,0.0,Rect Top,,,,-0.27,
매도패턴,005380.KS,현대차,2026-03-30,,475910.84375,464500.0,,136.45,0.0,0.0,Triple Top,,,,-2.4,
매도패턴,000810.KS,삼성화재,2026-03-30,,462000.0,445500.0,,4.7,0.0,0.0,H&S,,,,-3.57,
매도패턴,003550.KS,LG,2026-03-30,,87900.0,85300.0,,5.64,0.0,0.0,Triple Top,,,,-2.96,
매도패턴,329180.KS,HD현대중공업,2026-03-27,,511000.0,440500.0,,1.88,0.0,0.0,Rect Top,,,,-13.8,
매도패턴,010130.KS,고려아연,2026-03-27,,1555800.0,1472000.0,,89.27,0.0,0.0,H&S,,,,-5.39,
매도패턴,064350.KS,현대로템,2026-03-27,,200000.0,202250.0,,-5.49,0.0,0.0,Triple Top,,,,1.12,
손절하락,298380.KS,에이비엘바이오,2026-03-18,2026-03-31,190000.0,160300.0,,159.39,0.0,0.0,"Inv H&S (손절 5% 이탈, -15.6%)",,179707.35638302067,261978.08700511648,-15.63,
매도전환,329180.KS,HD현대중공업,2026-01-16,,617821.9375,450500.0,2026-04-01,,,,,,,,-27.08,
매도전환,000810.KS,삼성화재,2026-02-19,,570000.0,454000.0,2026-04-01,,,,,,,,-20.35,
매도전환,064350.KS,현대로템,2026-03-10,,207500.0,188900.0,2026-04-01,,,,,,,,-8.96,
매도전환,005387.KS,현대차2우B,2026-01-13,,246894.640625,244500.0,2026-04-01,,,,,,,,-0.97,
매도전환,180640.KS,한진칼,2026-02-25,,173000.0,116700.0,2026-04-01,,,,,,,,-32.54,
손절,003550.KS,LG,2026-01-23,2026-01-26,93700.0,86750.0,2026-04-01,,,,,,,,-7.42,
손절,012450.KS,한화에어로스페이스,2026-03-10,2026-03-11,1459000.0,1253000.0,2026-03-31,,,,,,,,-14.12,
손절,064350.KS,현대로템,2026-03-10,2026-03-11,203500.0,172800.0,2026-03-31,,,,,,,,-15.09,
손절,011200.KS,HMM,2026-02-20,2026-02-23,22507.46309912854,19340.0,2026-03-30,,,,,,,,-14.07,
손절,086280.KS,현대글로비스,2026-01-14,2026-01-15,257500.0,233750.0,2026-03-10,,,,,,,,-9.22,
손절,034020.KS,두산에너빌리티,2026-02-25,2026-02-26,104100.0,91150.0,2026-03-05,,,,,,,,-12.44,
