date,rank,change,category,momentum_score,volatility_score,composite_score
2026-03-31,1,─,건설,46.77,61.39,1.49
2026-03-31,2,─,금융,18.51,49.51,1.04
2026-03-31,3,▲+3,신재생에너지,37.21,66.26,0.91
2026-03-31,4,─,원자력,42.18,69.6,0.86
2026-03-31,5,▲+7,2차전지,25.7,66.67,0.33
2026-03-31,6,▼-1,전력/인프라,32.58,68.36,0.3
2026-03-31,7,▲+4,부동산/리츠,4.12,16.16,0.19
2026-03-31,8,▲+13,게임,8.46,45.57,0.18
2026-03-31,9,▼-2,IT,23.72,64.13,-0.06
2026-03-31,10,▼-7,반도체,27.29,77.33,-0.06
2026-03-31,11,▼-2,AI,19.28,61.19,-0.09
2026-03-31,12,▲+8,소비재,5.99,39.79,-0.12
2026-03-31,13,▼-3,자동차,19.49,59.52,-0.28
2026-03-31,14,▼-6,방산/우주항공,17.34,72.46,-0.31
2026-03-31,15,▲+1,바이오/헬스케어,7.63,57.92,-0.31
2026-03-31,16,▼-1,에너지/화학,12.3,57.19,-0.33
2026-03-31,17,▲+2,플랫폼,3.37,42.37,-0.5
2026-03-31,18,▼-5,철강/금속,9.4,56.14,-0.54
2026-03-31,19,▼-5,로봇,10.46,67.22,-0.62
2026-03-31,20,▼-3,조선/해운,3.06,56.13,-0.65
2026-03-31,21,▼-3,운송,3.56,41.99,-0.84
2026-03-31,22,─,소프트웨어,-4.03,46.17,-0.97
2026-03-31,23,▲+1,미디어/엔터,-8.47,45.98,-1.27
2026-03-31,24,▼-1,금,3.05,41.57,-1.31
