구분,티커,종목명,신호일,진입일,진입가,현재가/청산가,청산일,모멘텀(%),수급빈집,우선순위(%),패턴,상태,손절가,익절가,손익률(%),보유일수
오늘신호,267270.KS,HD현대건설기계,2026-04-01,2026-04-03,141500.0,140500.0,,82.0,0.0,0.0,Rect Bottom,,133725.91190024297,176136.12526000745,-0.71,
매수,267270.KS,HD현대건설기계,2026-04-01,2026-04-03,141500.0,140500.0,,82.0,0.0,0.0,Rect Bottom,,133725.91190024297,176136.12526000745,-0.71,
매도패턴,352820.KS,하이브,2026-04-02,,280103.25,268500.0,,-13.4,0.0,0.0,Rect Top,,,,-4.14,
매도패턴,029780.KS,삼성카드,2026-04-02,,51700.0,51600.0,,5.2,0.0,0.0,Triple Top,,,,-0.19,
매도패턴,064760.KS,티씨케이,2026-04-02,,218500.0,215500.0,,110.48,0.0,0.0,Triple Top,,,,-1.37,
매도패턴,090430.KS,아모레퍼시픽,2026-04-01,,201414.28571428545,134300.0,,-5.49,0.0,0.0,H&S,,,,-33.32,
매도패턴,008770.KS,호텔신라,2026-04-01,,51096.66666666663,42900.0,,-15.88,0.0,0.0,H&S,,,,-16.04,
매도패턴,267260.KS,HD현대일렉트릭,2026-03-31,,835898.5625,882000.0,,79.04,0.0,0.0,Rect Top,,,,5.52,
매도패턴,051910.KS,LG화학,2026-03-31,,300000.0,302000.0,,49.14,0.0,0.0,Rect Top,,,,0.67,
매도패턴,005387.KS,현대차2우B,2026-03-31,,244500.0,236500.0,,53.46,0.0,0.0,Rect Top,,,,-3.27,
매도패턴,007660.KS,이수페타시스,2026-03-31,,100500.0,101800.0,,123.25,0.0,0.0,Triple Top,,,,1.29,
매도패턴,180640.KS,한진칼,2026-03-31,,110400.0,111000.0,,-9.76,0.0,0.0,Rect Top,,,,0.54,
매도패턴,241560.KS,두산밥캣,2026-03-31,,79500.0,60000.0,,-0.09,0.0,0.0,H&S,,,,-24.53,
매도패턴,005385.KS,현대차우,2026-03-31,,242000.0,235500.0,,54.36,0.0,0.0,Rect Top,,,,-2.69,
매도패턴,035250.KS,강원랜드,2026-03-31,,17525.0,16780.0,,-6.52,0.0,0.0,H&S,,,,-4.25,
매도패턴,111770.KS,영원무역,2026-03-31,,80200.0,80700.0,,38.41,0.0,0.0,Triple Top,,,,0.62,
매도패턴,031210.KS,서울보증보험,2026-03-31,,52300.0,48900.0,,18.26,0.0,0.0,Triple Top,,,,-6.5,
매도패턴,030530.KS,원익홀딩스,2026-03-31,,26550.0,27450.0,,347.07,0.0,0.0,Triple Top,,,,3.39,
매도패턴,030000.KS,제일기획,2026-03-31,,19790.0,18670.0,,-2.95,0.0,0.0,Triple Top,,,,-5.66,
매도패턴,011210.KS,현대위아,2026-03-31,,78400.0,75000.0,,60.6,0.0,0.0,Rect Top,,,,-4.34,
매도패턴,099320.KS,쎄트렉아이,2026-03-31,,171060.0,177900.0,,284.14,0.0,0.0,H&S,,,,4.0,
매도패턴,005380.KS,현대차,2026-03-30,,475910.84375,465500.0,,136.96,0.0,0.0,Triple Top,,,,-2.19,
매도패턴,000810.KS,삼성화재,2026-03-30,,462000.0,444000.0,,4.35,0.0,0.0,H&S,,,,-3.9,
매도패턴,003550.KS,LG,2026-03-30,,87900.0,84800.0,,5.02,0.0,0.0,Triple Top,,,,-3.53,
매도패턴,214450.KS,파마리서치,2026-03-30,,307500.0,292500.0,,-40.02,0.0,0.0,Rect Top,,,,-4.88,
매도패턴,084370.KS,유진테크,2026-03-30,,125400.0,125500.0,,191.52,0.0,0.0,H&S,,,,0.08,
매도패턴,178320.KS,서진시스템,2026-03-30,,44250.0,45950.0,,110.78,0.0,0.0,Triple Top,,,,3.84,
매도패턴,005290.KS,동진쎄미켐,2026-03-30,,44950.0,46200.0,,42.24,0.0,0.0,Rect Top,,,,2.78,
매도패턴,067310.KS,하나마이크론,2026-03-30,,30200.0,28650.0,,126.84,0.0,0.0,Triple Top,,,,-5.13,
매도패턴,140860.KS,파크시스템스,2026-03-30,,257000.0,243500.0,,-15.84,0.0,0.0,Triple Top,,,,-5.25,
매도패턴,069960.KS,현대백화점,2026-03-30,,84400.0,76400.0,,0.05,0.0,0.0,Triple Top,,,,-9.48,
