티커,종목명,현재가,돌파가,손절가,익절가,VAM,돌파일,패턴,사유,시총(억)
012200,계양전기,13470.0,13390.0,11450,17511,48.8,01/09,상승삼각,상승패턴,3604
295310,에이치브이엠,69800.0,69100.0,59330,90740,19.5,01/09,W바닥,상승패턴,8308
368770,파이버프로,15370.0,15520.0,13064,19981,16.6,01/09,상승삼각,상승패턴,5089
347700,스피어,18090.0,18010.0,15376,23517,12.1,01/09,W바닥,상승패턴,8390
451760,컨텍,14080.0,13950.0,11968,18304,11.8,01/09,W바닥,상승패턴,2125
047810,한국항공우주,149000.0,148600.0,126650,193700,10.2,01/09,W바닥,상승패턴,145530
000660,SK하이닉스,743000.0,739000.0,631550,965900,10.2,01/09,W바닥,상승패턴,5398138
079550,LIG넥스원,539000.0,541000.0,458150,700700,10.1,01/09,상승삼각,상승패턴,118580
080220,제주반도체,31100.0,30800.0,26435,40430,10.0,01/09,W바닥,"상승패턴, 이격도9.8%+기울기2.41%",10694
001430,세아베스틸지주,58000.0,58600.0,49300,75400,9.7,01/09,W바닥,상승패턴,20908
211270,AP위성,15220.0,14300.0,12937,19786,9.3,01/05,상승삼각,이격도6.7%+기울기0.90%,2285
032940,원익,12750.0,12940.0,10838,16575,8.4,01/09,W바닥,상승패턴,2329
272210,한화시스템,69400.0,68700.0,58990,90220,8.4,01/09,상승삼각,상승패턴,131110
354320,알멕,33400.0,30350.0,28390,43420,7.5,01/09,W바닥,"상승패턴, 이격도8.9%+기울기0.91%",2071
029460,케이씨,28250.0,28150.0,24012,36725,6.8,01/09,W바닥,"상승패턴, 이격도7.3%+기울기0.80%",3738
230360,에코마케팅,15910.0,15910.0,13524,20683,6.7,01/09,W바닥,상승패턴,4932
036540,SFA반도체,5570.0,5520.0,4734,7241,6.5,01/09,W바닥,"상승패턴, 이격도2.5%+기울기0.95%",9128
095610,테스,52900.0,52700.0,44965,68770,6.4,01/09,W바닥,"상승패턴, 이격도7.1%+기울기1.00%",10457
027360,아주IB투자,3180.0,3190.0,2703,4134,6.0,-,-,이격도-0.8%+기울기0.95%,3846
352820,하이브,332000.0,331500.0,282200,431600,6.0,01/09,W바닥,상승패턴,141547
006800,미래에셋증권,26900.0,26800.0,22865,34970,5.7,01/09,W바닥,상승패턴,152546
128940,한미약품,466000.0,467000.0,396100,605800,5.6,01/09,W바닥,"상승패턴, 이격도4.2%+기울기0.75%",60019
016610,DB증권,11960.0,12340.0,10166,15548,5.6,01/07,상승삼각,이격도6.6%+기울기1.93%,5068
101170,우림피티에스,19000.0,19140.0,16150,24700,5.6,01/09,상승삼각,상승패턴,2603
207940,삼성바이오로직스,1852000.0,1850000.0,1574200,2407600,5.5,01/09,W바닥,"상승패턴, 이격도5.8%+기울기1.21%",856846
249420,일동제약,40950.0,41050.0,34808,53235,5.3,-,-,이격도4.6%+기울기0.83%,13003
140670,알에스오토메이션,16750.0,17000.0,14238,21775,5.2,-,-,이격도2.5%+기울기0.85%,2164
476060,온코닉테라퓨틱스,21850.0,22350.0,18572,28405,5.1,12/29,상승삼각,이격도7.7%+기울기1.41%,9699
484590,삼양컴텍,14560.0,14690.0,12376,18928,5.0,01/09,상승삼각,"상승패턴, 이격도8.0%+기울기5.37%",6029
307950,현대오토에버,420500.0,420000.0,357425,546650,5.0,01/09,상승삼각,상승패턴,116415
